form	lemma	POS	morph
སྐབས་	སྐབས་	NOUN
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
གང་ཟག་	གང་ཟག་	NOUN
ལ་	ལ་	PART
བཞི་	བཞི་	NUM
།		PUNCT
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
དགེ་འདུན་	དགེ་འདུན་	NOUN
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
།		PUNCT
སྦྱོར་ལམ་	སྦྱོར་ལམ་	NOUN
གྱི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
རྟགས་	རྟགས་	NOUN
ཉི་ཤུ་	ཉི་ཤུ་	NUM
།		PUNCT
མཐོང་ལམ་	མཐོང་ལམ་	NOUN
གྱི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
རྟགས་	རྟགས་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
།		PUNCT
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
གྱི་	གི་	PART
རྟགས་	རྟགས་	NOUN
སོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
དགེ་འདུན་	དགེ་འདུན་	NOUN
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ངེས་འབྱེད་	ངེས་འབྱེད་	NO_POS
ཡན་ལག་	ཡན་ལག་	NOUN
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
།།		PUNCT
མཐོང་	མཐོང་	VERB
དང་	དང་	NO_POS
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
དག་	དག་	DET
ལ་	ལ་	PART
།།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
གང་དག་	གང་དག་	NO_POS
གནས་	གནས་	NOUN
།།		PUNCT
དེ་	སྟེ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
ཡི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
སྦྱོར་ལམ་	སྦྱོར་ལམ་	NOUN
གྱི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
རྟགས་	རྟགས་	NOUN
ཉི་ཤུ་	ཉི་ཤུ་	NUM
བསྟན་པ་	བསྟན་པ་	VERB
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
།		PUNCT
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
དོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
ལྡོག་	ལྡོག་	VERB
སོགས་	སོགས་	DET
རྟགས་	རྟགས་	NOUN
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ཉི་ཤུ་	ཉི་ཤུ་	NUM
ར་	ལ་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ཡི་	གིས་	PART
།།		PUNCT
ངེས་འབྱེད་	ངེས་འབྱེད་	NO_POS
ཡན་ལག་	ཡན་ལག་	NOUN
ལ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
།།		PUNCT
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
འདི་	འདི་	DET
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
མི་	མི་	PART
དལ་	དལ་	NOUN
ཟད་པ་	ཟད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
བདག་ཉིད་	བདག་ཉིད་	NOUN
དགེ་བ་	དགེ་བ་	VERB
ལ་	ལ་	PART
གནས་	གནས་	NOUN
ཤིང་	ཅིང་	PART
།།		PUNCT
གཞན་དག་	གཞན་དག་	NO_POS
དེ་	སྟེ་	PART
ལ་	ལ་	PART
འགོད་པ་	འགོད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
གཞན་	གཞན་	DET
གྱི་	གི་	PART
རྟེན་	རྟེན་	NOUN
ཅན་	ཅན་	PART
སྦྱིན་	སྦྱིན་	VERB
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
།།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
འི་	གི་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
སོམ་ཉི་	སོམ་ཉི་	NOUN
མེད་	མེད་	VERB
།།		PUNCT
བྱམས་	བྱམས་	VERB
ལུས་	ལུས་	NOUN
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
སྒྲིབ་པ་	སྒྲིབ་པ་	VERB
ནི་	ནི་	NO_POS
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
མི་	མི་	PART
འགྲོགས་	འགྲོགས་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
		
བག་	བག་	NOUN
ལ་	ལ་	PART
ཉལ་	ཉལ་	NO_POS
ཀུན་འཇོམས་པ་	ཀུན་འཇོམས་པ་	OTHER
དང་	དང་	NO_POS
།།		PUNCT
དྲན་པ་	དྲན་པ་	VERB
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
ཤེས་བཞིན་	ཤེས་བཞིན་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
གོ་	གོ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
གཙང་བ་	གཙང་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ལུས་	ལུས་	NOUN
ལ་	ལ་	PART
སྲིན་བུ་	སྲིན་བུ་	NOUN
རྣམས་	རྣམས་	DET
མི་	མི་	PART
འབྱུང་	འབྱུང་	VERB
།།		PUNCT
		
གྱ་གྱུ་	གྱ་གྱུ་	NOUN
མེད་	མེད་	VERB
སེམས་	སེམས་	NOUN
སྦྱངས་པ་	སྦྱངས་པ་	VERB
ནི་	ནི་	NO_POS
།།		PUNCT
ལེན་	ལེན་	VERB
དང་	དང་	NO_POS
སེར་སྣ་	སེར་སྣ་	NOUN
མེད་	མེད་	VERB
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
།།		PUNCT
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
ལྡན་པ་	ལྡན་པ་	VERB
ར་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
དོན་	དོན་	NOUN
དུ་	ལ་	PART
དམྱལ་	དམྱལ་	VERB
ཚོལ་	ཚོལ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
གཞན་	གཞན་	DET
གྱིས་	གིས་	PART
བཀྲི་བ་	བཀྲི་བ་	VERB
ར་	ལ་	PART
མི་	མི་	PART
བཏུབ་		NON_WORD
དང་	དང་	NO_POS
།།		PUNCT
ལམ་	གམ་	PART
གཞན་	གཞན་	DET
ཉེ་བ་		
སྟོན་	སྟོན་	VERB
བདུད་	བདུད་	NOUN
ལ་	ལ་	PART
།།		PUNCT
བདུད་	བདུད་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ར་	ལ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དགྱེས་པ་	དགྱེས་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
སྟེ་	སྟེ་	PART
།།		PUNCT
		
རྟགས་	རྟགས་	NOUN
ནི་	ནི་	NO_POS
ཉི་ཤུ་	ཉི་ཤུ་	NUM
དེ་དག་	དེ་དག་	OTHER
གིས་	གིས་	PART
།།		PUNCT
དྲོད་	དྲོད་	NOUN
དང་	དང་	NO_POS
རྩེ་མོ་	རྩེ་མོ་	NOUN
བཟོད་	བཟོད་	VERB
བཅའ་	བཅའ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཆོས་མཆོག་	ཆོས་མཆོག་	PROPN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
ནི་	ནི་	NO_POS
།།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ལས་མི་	ལས་མི་	NOUN
ལྡོག་	ལྡོག་	VERB
།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
མཐོང་ལམ་	མཐོང་ལམ་	NOUN
གྱི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
རྟགས་	རྟགས་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
།		PUNCT
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
དོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
མཐོང་བ་	མཐོང་བ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ལ་	ལ་	PART
བཟོད་པ་	བཟོད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
།།		PUNCT
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
སོགས་	སོགས་	DET
འདུ་ཤེས་	འདུ་ཤེས་	NOUN
ལྡོག་པ་	ལྡོག་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སེམས་	སེམས་	NOUN
བརྟེན་	བརྟེན་	VERB
ཐེག་པ་	ཐེག་པ་	NOUN
དམན་	དམན་	VERB
དག་	དག་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
།།		PUNCT
རྣམ་	རྣམ་	NOUN
ལོག་	ལོག་	VERB
བསམ་གཏན་	བསམ་གཏན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
།།		PUNCT
ཡན་ལག་	ཡན་ལག་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཟད་པ་	ཟད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
ལུས་སེམས་	ལུས་སེམས་	NOUN
ཡང་བ་	ཡང་བ་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
འདོད་	འདོད་	VERB
ལ་	ལ་	PART
སྤྱོད་	སྤྱོད་	VERB
ལ་	ལ་	PART
ཐབས་མཁས་	ཐབས་མཁས་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
རྟག་	རྟག་	VERB
ཏུ་	ལ་	PART
ཚངས་པ་	ཚངས་པ་	PROPN
ར་	ལ་	PART
སྤྱོད་	སྤྱོད་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
འཚོ་བ་	འཚོ་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
དག་	དག་	DET
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
		
ཕུང་	ཕུང་	VERB
སོགས་	སོགས་	DET
བར་ཆད་	བར་ཆད་	NOUN
བྱེད་	བྱེད་	VERB
རྣམས་	རྣམས་	DET
དང་	དང་	NO_POS
།།		PUNCT
ཚོགས་	ཚོགས་	NOUN
དང་	དང་	NO_POS
དབང་	དབང་	NOUN
སོགས་	སོགས་	DET
བཅས་པ་	བཅས་པ་	VERB
ཡི་	གི་	PART
།།		PUNCT
གཡུལ་འགྱེད་	གཡུལ་འགྱེད་	OTHER
སེར་སྣ་	སེར་སྣ་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ལ་	ལ་	PART
།།		PUNCT
སྦྱོར་	སྦྱོར་	VERB
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཡི་	གི་	PART
།།		PUNCT
		
གནས་པ་	གནས་པ་	VERB
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
བཀག་པ་	བཀག་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཆོ་	ཆོ་	NOUN
ནི་	ནི་	NO_POS
རྡུལ་	རྡུལ་	NOUN
ཙམ་	ཙམ་	DET
མི་	མི་	PART
དམིགས་	དམིགས་	VERB
ཉིད་	ཉིད་	DET
།།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
ས་	ས་	ADP
ལ་	ལ་	PART
ངེས་པ་	ངེས་པ་	VERB
ཉིད་	ཉིད་	DET
།།		PUNCT
ས་	ས་	ADP
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
གནས་པ་	གནས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
དུ་	ལ་	PART
སྲོག་	སྲོག་	NOUN
གཏོང་བ་	གཏོང་བ་	VERB
།།		PUNCT
དེ་	སྟེ་	PART
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
བློ་ལྡན་	བློ་ལྡན་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
།།		PUNCT
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
རྟགས་	རྟགས་	NOUN
དག་	དག་	DET
ཡིན་	ཡིན་	NO_POS
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
གྱི་	གི་	PART
རྟགས་	རྟགས་	NOUN
ལ་	ལ་	PART
བརྒྱད་	བརྒྱད་	NUM
དེ་	སྟེ་	PART
།		PUNCT
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
གི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
།		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
གྱི་	གི་	PART
གཞི་	གཞི་	NOUN
།		PUNCT
དབྱེ་བ་	དབྱེ་བ་	VERB
།		PUNCT
གྲངས་མེད་པ་	གྲངས་མེད་པ་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
མི་འགལ་བ་	མི་འགལ་བ་	NO_POS
།		PUNCT
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
གྱི་	གི་	PART
བྱེད་པ་	བྱེད་པ་	VERB
།		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
ལ་	ལ་	PART
རྩོད་པ་	རྩོད་པ་	VERB
དགོད་པ་	དགོད་པ་	VERB
།		PUNCT
ལན་	ལན་	NOUN
དཔེ་	དཔེ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
བརྒྱད་	བརྒྱད་	NUM
ཀྱིས་	གིས་	PART
རྟགས་	རྟགས་	NOUN
ཉིད་	ཉིད་	DET
བསྟན་པ་	བསྟན་པ་	VERB
འོ་	གོ་	PART
"།

།"		PUNCT
དང་པོ་	དང་པོ་	ADJ
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
གྱི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ནི་	ནི་	NO_POS
ཟབ་པ་	ཟབ་པ་	VERB
སྟེ་	སྟེ་	PART
།།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
།།		PUNCT
ཟབ་པ་	ཟབ་པ་	VERB
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
སྒྲོ་འདོགས་	སྒྲོ་འདོགས་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
སྐུར་་	སྐུར་པ་	NOUN
འི་	གི་	PART
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
ཉིད་	ཉིད་	DET
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཁྱད་	ཁྱད་	NOUN
གཞི་	གཞི་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ངེས་འབྱེད་	ངེས་འབྱེད་	NO_POS
ཡན་ལག་	ཡན་ལག་	NOUN
དང་	དང་	NO_POS
མཐོང་བ་	མཐོང་བ་	VERB
འི་	གི་	PART
།།		PUNCT
ལམ་	གམ་	PART
དང་	དང་	NO_POS
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
།།		PUNCT
ཡང་	ཀྱང་	PART
དང་	དང་	NO_POS
ཡང་	ཀྱང་	PART
དུ་	ལ་	PART
སེམས་པ་	སེམས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
འཇལ་	འཇལ་	VERB
དང་	དང་	NO_POS
ངེས་	ངེས་	VERB
རྟོག་	རྟོག་	VERB
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
དབྱེ་བ་	དབྱེ་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
རྒྱུན་ཆགས་	རྒྱུན་ཆགས་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
ཆུང་	ཆུང་	VERB
དང་	དང་	NO_POS
འབྲིང་	འབྲིང་	NOUN
དང་	དང་	NO_POS
ཆེན་པོ་	ཆེན་པོ་	ADJ
རྣམས་	རྣམས་	DET
།།		PUNCT
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
འི་	གི་	PART
ཆུང་	ཆུང་	VERB
སོགས་	སོགས་	DET
དབྱེ་བ་	དབྱེ་བ་	VERB
ཡི་	གིས་	PART
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
དགུ་	དགུ་	NUM
ར་	ལ་	PART
བཞེད་	བཞེད་	VERB
དོ་	གོ་	PART
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
གྲངས་མེད་པ་	གྲངས་མེད་པ་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
མི་འགལ་བ་	མི་འགལ་བ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
གྲངས་མེད་	གྲངས་མེད་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
བསྟན་པ་	བསྟན་པ་	VERB
རྣམས་	རྣམས་	DET
།།		PUNCT
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
དུ་	ལ་	PART
བཟོད་	བཟོད་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
།།		PUNCT
ཀུན་རྫོབ་	ཀུན་རྫོབ་	NOUN
ཏུ་	ལ་	PART
ནི་	ནི་	NO_POS
ཐུགས་	ཐུགས་	NOUN
བརྩེ་བ་	བརྩེ་བ་	VERB
ས་	གིས་	PART
།།		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
མཐུན་	མཐུན་	VERB
དེ་དག་	དེ་དག་	OTHER
ཐུབ་པ་	ཐུབ་པ་	VERB
བཞེད་	བཞེད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
ལྔ་པ་	ལྔ་པ་	NUM
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
གྱི་	གི་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ལ་	ལ་	PART
།		PUNCT
བརྒལ་བ་	བརྒལ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ལན་	ལན་	NOUN
གཉིས་	གཉིས་	NUM
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
བརྒལ་བ་	བརྒལ་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
དངོས་པོ་	དངོས་པོ་	NOUN
བརྗོད་	བརྗོད་	VERB
དུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ལ་	ལ་	PART
།།		PUNCT
ཉམས་པ་	ཉམས་པ་	VERB
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
འཕེལ་	འཕེལ་	VERB
མི་	མི་	PART
རུང་	རུང་	SCONJ
།།		PUNCT
སྒོམ་	སྒོམ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
གྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
།།		PUNCT
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
ཉམས་	ཉམས་	NOUN
ཤིང་	ཅིང་	PART
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
འཐོབ་	འཐོབ་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ལན་	ལན་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཇི་ལྟ་	ཇི་ལྟ་	ADJ
དེ་བཞིན་	དེ་བཞིན་	OTHER
དུ་	ལ་	PART
།།		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
འདོད་པ་	འདོད་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
སྒྲུབ་བྱེད་	སྒྲུབ་བྱེད་	NOUN
།།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
དེ་	སྟེ་	PART
ཡི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
བཞེད་	བཞེད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
དྲུག་པ་	དྲུག་པ་	NUM
འབྲས་བུ་	འབྲས་བུ་	NOUN
ལ་	ལ་	PART
རྩོད་པ་	རྩོད་པ་	VERB
དགོད་པ་	དགོད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སེམས་	སེམས་	NOUN
ནི་	ནི་	NO_POS
སྔ་མ་	སྔ་མ་	ADJ
ས་	གིས་	PART
བྱང་ཆུབ་པ་	བྱང་ཆུབ་པ་	NOUN
ར་	ལ་	PART
།།		PUNCT
རིགས་	རིགས་	NOUN
མིན་	མིན་	AUX
ཕྱི་མ་	ཕྱི་མ་	ADJ
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
ནི་	ནི་	NO_POS
མིན་	མིན་	AUX
།།		PUNCT
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བདུན་པ་	བདུན་པ་	NUM
ལན་	ལན་	NOUN
དཔེ་	དཔེ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
མར་མེ་	མར་མེ་	NOUN
འི་	གི་	PART
དཔེ་	དཔེ་	NOUN
ཡི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
གྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
།།		PUNCT
